name,parent,type,size
main.py,python_learn,file,73
.idea,python_learn,directory,4869
venv,python_learn,directory,15056105
.gitignore,.idea,file,214
misc.xml,.idea,file,203
modules.xml,.idea,file,283
python_learn.iml,.idea,file,361
workspace.xml,.idea,file,3634
inspectionProfiles,.idea,directory,174
profiles_settings.xml,inspectionProfiles,file,174
pyvenv.cfg,venv,file,116
Include,venv,directory,0
Lib,venv,directory,13628337
Scripts,venv,directory,1427652
site-packages,Lib,directory,13628337
distutils-precedence.pth,site-packages,file,152
pip,site-packages,directory,9114373
pip-21.3.1.dist-info,site-packages,directory,69044
pkg_resources,site-packages,directory,871064
setuptools,site-packages,directory,3532849
setuptools-59.1.0.dist-info,site-packages,directory,31844
_distutils_hack,site-packages,directory,9011
py.typed,pip,file,286
__init__.py,pip,file,357
__main__.py,pip,file,1198
_internal,pip,directory,1739729
_vendor,pip,directory,7371651
__pycache__,pip,directory,1152
build_env.py,_internal,file,9950
cache.py,_internal,file,9441
configuration.py,_internal,file,13153
exceptions.py,_internal,file,12762
main.py,_internal,file,340
pyproject.py,_internal,file,7215
self_outdated_check.py,_internal,file,6393
wheel_builder.py,_internal,file,12247
__init__.py,_internal,file,573
cli,_internal,directory,163657
commands,_internal,directory,202868
distributions,_internal,directory,19565
index,_internal,directory,111725
locations,_internal,directory,52741
metadata,_internal,directory,38782
models,_internal,directory,71947
network,_internal,directory,88998
operations,_internal,directory,142134
req,_internal,directory,183445
resolution,_internal,directory,188603
utils,_internal,directory,229307
vcs,_internal,directory,110225
__pycache__,_internal,directory,63658
autocompletion.py,cli,file,6399
base_command.py,cli,file,7790
cmdoptions.py,cli,file,28391
command_context.py,cli,file,760
main.py,cli,file,2472
main_parser.py,cli,file,2614
parser.py,cli,file,10788
progress_bars.py,cli,file,8300
req_command.py,cli,file,17097
spinners.py,cli,file,5076
status_codes.py,cli,file,116
__init__.py,cli,file,132
__pycache__,cli,directory,73722
autocompletion.cpython-39.pyc,__pycache__,file,5096
base_command.cpython-39.pyc,__pycache__,file,6102
cmdoptions.cpython-39.pyc,__pycache__,file,22532
command_context.cpython-39.pyc,__pycache__,file,1254
main.cpython-39.pyc,__pycache__,file,1329
main_parser.cpython-39.pyc,__pycache__,file,2126
parser.cpython-39.pyc,__pycache__,file,9910
progress_bars.cpython-39.pyc,__pycache__,file,7586
req_command.cpython-39.pyc,__pycache__,file,12321
spinners.cpython-39.pyc,__pycache__,file,4909
status_codes.cpython-39.pyc,__pycache__,file,318
__init__.cpython-39.pyc,__pycache__,file,239
cache.py,commands,file,7524
check.py,commands,file,1685
completion.py,commands,file,2958
configuration.py,commands,file,8944
debug.py,commands,file,6629
download.py,commands,file,4904
freeze.py,commands,file,2951
hash.py,commands,file,1703
help.py,commands,file,1132
index.py,commands,file,4762
install.py,commands,file,27851
list.py,commands,file,12203
search.py,commands,file,5697
show.py,commands,file,8064
uninstall.py,commands,file,3526
wheel.py,commands,file,6168
__init__.py,commands,file,3736
__pycache__,commands,directory,92431
cache.cpython-39.pyc,__pycache__,file,6143
check.cpython-39.pyc,__pycache__,file,1532
completion.cpython-39.pyc,__pycache__,file,3105
configuration.cpython-39.pyc,__pycache__,file,8286
debug.cpython-39.pyc,__pycache__,file,6621
download.cpython-39.pyc,__pycache__,file,3927
freeze.cpython-39.pyc,__pycache__,file,2602
hash.cpython-39.pyc,__pycache__,file,2098
help.cpython-39.pyc,__pycache__,file,1270
index.cpython-39.pyc,__pycache__,file,4486
install.cpython-39.pyc,__pycache__,file,17650
list.cpython-39.pyc,__pycache__,file,10114
search.cpython-39.pyc,__pycache__,file,5288
show.cpython-39.pyc,__pycache__,file,8433
uninstall.cpython-39.pyc,__pycache__,file,3066
wheel.cpython-39.pyc,__pycache__,file,4794
__init__.cpython-39.pyc,__pycache__,file,3016
base.py,distributions,file,1172
installed.py,distributions,file,767
sdist.py,distributions,file,5598
wheel.py,distributions,file,1115
__init__.py,distributions,file,858
__pycache__,distributions,directory,10055
base.cpython-39.pyc,__pycache__,file,1837
installed.cpython-39.pyc,__pycache__,file,1284
sdist.cpython-39.pyc,__pycache__,file,4610
wheel.cpython-39.pyc,__pycache__,file,1562
__init__.cpython-39.pyc,__pycache__,file,762
collector.py,index,file,17534
package_finder.py,index,file,36344
sources.py,index,file,6557
__init__.py,index,file,30
__pycache__,index,directory,51260
collector.cpython-39.pyc,__pycache__,file,15847
package_finder.cpython-39.pyc,__pycache__,file,28062
sources.cpython-39.pyc,__pycache__,file,7158
__init__.cpython-39.pyc,__pycache__,file,193
base.py,locations,file,1579
_distutils.py,locations,file,5871
_sysconfig.py,locations,file,7918
__init__.py,locations,file,14444
__pycache__,locations,directory,22929
base.cpython-39.pyc,__pycache__,file,1501
_distutils.cpython-39.pyc,__pycache__,file,4632
_sysconfig.cpython-39.pyc,__pycache__,file,6223
__init__.cpython-39.pyc,__pycache__,file,10573
base.py,metadata,file,11103
pkg_resources.py,metadata,file,5089
__init__.py,metadata,file,1660
__pycache__,metadata,directory,20930
base.cpython-39.pyc,__pycache__,file,12967
pkg_resources.cpython-39.pyc,__pycache__,file,6075
__init__.cpython-39.pyc,__pycache__,file,1888
candidate.py,models,file,990
direct_url.py,models,file,6350
format_control.py,models,file,2520
index.py,models,file,1030
link.py,models,file,9817
scheme.py,models,file,738
search_scope.py,models,file,4520
selection_prefs.py,models,file,1907
target_python.py,models,file,3858
wheel.py,models,file,3500
__init__.py,models,file,63
__pycache__,models,directory,36654
candidate.cpython-39.pyc,__pycache__,file,1410
direct_url.cpython-39.pyc,__pycache__,file,7200
format_control.cpython-39.pyc,__pycache__,file,2681
index.cpython-39.pyc,__pycache__,file,1197
link.cpython-39.pyc,__pycache__,file,10221
scheme.cpython-39.pyc,__pycache__,file,973
search_scope.cpython-39.pyc,__pycache__,file,3442
selection_prefs.cpython-39.pyc,__pycache__,file,1629
target_python.cpython-39.pyc,__pycache__,file,3375
wheel.cpython-39.pyc,__pycache__,file,4299
__init__.cpython-39.pyc,__pycache__,file,227
auth.py,network,file,12190
cache.py,network,file,2100
download.py,network,file,6016
lazy_wheel.py,network,file,7627
session.py,network,file,16729
utils.py,network,file,4059
xmlrpc.py,network,file,1791
__init__.py,network,file,50
__pycache__,network,directory,38436
auth.cpython-39.pyc,__pycache__,file,7447
cache.cpython-39.pyc,__pycache__,file,2857
download.cpython-39.pyc,__pycache__,file,5446
lazy_wheel.cpython-39.pyc,__pycache__,file,8347
